French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
pourrais,could
donner,give
leurs,their
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
main,hand
première,first
pouvoir,power
sois,be
tellement,so much
point,point
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
donne,given
loin,far
fin,end
croire,believe
gros,large
aura,will have
filles,girls
bureau,office
